證券代碼	簡稱	年月日	日報酬率 %
COID	Name	MDATE	ROIA
2603   	長榮         	19910523	  -1.9608
2809   	京城銀       	19910523	   2.5271
1102   	亞泥         	19910524	  -0.6536
1434   	福懋         	19910524	  -1.4374
1605   	華新         	19910524	   0.9259
2303   	聯電         	19910524	  -0.8475
2603   	長榮         	19910524	  -0.8000
2809   	京城銀       	19910524	  -2.1127
1102   	亞泥         	19910525	  -1.3158
1434   	福懋         	19910525	  -0.4167
1605   	華新         	19910525	  -2.7523
2303   	聯電         	19910525	  -3.4188
2603   	長榮         	19910525	  -2.2177
2809   	京城銀       	19910525	  -2.1583
1102   	亞泥         	19910527	  -1.3333
1434   	福懋         	19910527	  -1.6736
1605   	華新         	19910527	  -2.8302
2303   	聯電         	19910527	  -2.6549
2603   	長榮         	19910527	   1.0309
2809   	京城銀       	19910527	   1.1029
1102   	亞泥         	19910528	   0.0000
1434   	福懋         	19910528	  -0.2128
1605   	華新         	19910528	   0.9709
2303   	聯電         	19910528	  -0.9091
2603   	長榮         	19910528	  -1.0204
2809   	京城銀       	19910528	   0.3636
1102   	亞泥         	19910529	  -3.3784
1434   	福懋         	19910529	  -1.9190
1605   	華新         	19910529	  -1.9231
2303   	聯電         	19910529	  -0.9174
2603   	長榮         	19910529	   0.2062
2809   	京城銀       	19910529	  -5.4348
1102   	亞泥         	19910530	  -0.6993
1434   	福懋         	19910530	  -1.9565
1605   	華新         	19910530	  -1.9608
2303   	聯電         	19910530	  -3.7037
2603   	長榮         	19910530	  -2.7311
2809   	京城銀       	19910530	  -3.8314
1102   	亞泥         	19910531	   0.0000
1434   	福懋         	19910531	   1.5521
1605   	華新         	19910531	   1.0000
2303   	聯電         	19910531	   0.0000
2603   	長榮         	19910531	  -1.0799
2809   	京城銀       	19910531	  -1.9920
1102   	亞泥         	19910601	   3.5211
